Formatted Date,Temperature (C),Humidity
2006-04-01 00:00:00.000 +0200,9.47,0.89
2006-04-01 01:00:00.000 +0200,9.36,0.86
2006-04-01 02:00:00.000 +0200,9.38,0.89
2006-04-01 03:00:00.000 +0200,8.29,0.83
2006-04-01 04:00:00.000 +0200,8.76,0.83
2006-04-01 05:00:00.000 +0200,9.22,0.85
2006-04-01 06:00:00.000 +0200,7.73,0.95
2006-04-01 07:00:00.000 +0200,8.77,0.89
2006-04-01 08:00:00.000 +0200,10.82,0.82
2006-04-01 09:00:00.000 +0200,13.77,0.72
2006-04-01 10:00:00.000 +0200,16.02,0.67
2006-04-01 11:00:00.000 +0200,17.14,0.54
2006-04-01 12:00:00.000 +0200,17.80,0.55
2006-04-01 13:00:00.000 +0200,17.33,0.51
2006-04-01 14:00:00.000 +0200,18.88,0.47
2006-04-01 15:00:00.000 +0200,18.91,0.46
2006-04-01 16:00:00.000 +0200,15.39,0.6
2006-04-01 17:00:00.000 +0200,15.55,0.63
2006-04-01 18:00:00.000 +0200,14.26,0.69
2006-04-01 19:00:00.000 +0200,13.14,0.7
2006-04-01 20:00:00.000 +0200,11.55,0.77
2006-04-01 21:00:00.000 +0200,11.18,0.76
2006-04-01 22:00:00.000 +0200,10.12,0.79
2006-04-01 23:00:00.000 +0200,10.20,0.77
2006-04-10 00:00:00.000 +0200,10.42,0.62
2006-04-10 01:00:00.000 +0200,9.91,0.66
2006-04-10 02:00:00.000 +0200,11.18,0.8
2006-04-10 03:00:00.000 +0200,7.16,0.79
2006-04-10 04:00:00.000 +0200,6.11,0.82
2006-04-10 05:00:00.000 +0200,6.79,0.83
2006-04-10 06:00:00.000 +0200,7.26,0.85
2006-04-10 07:00:00.000 +0200,7.80,0.83
2006-04-10 08:00:00.000 +0200,9.87,0.78
2006-04-10 09:00:00.000 +0200,12.22,0.72
2006-04-10 10:00:00.000 +0200,15.09,0.61
2006-04-10 11:00:00.000 +0200,17.36,0.52
2006-04-10 12:00:00.000 +0200,19.01,0.46
2006-04-10 13:00:00.000 +0200,20.04,0.4
2006-04-10 14:00:00.000 +0200,21.05,0.4
2006-04-10 15:00:00.000 +0200,21.18,0.37
2006-04-10 16:00:00.000 +0200,20.12,0.4
2006-04-10 17:00:00.000 +0200,20.22,0.36
2006-04-10 18:00:00.000 +0200,20.00,0.43
2006-04-10 19:00:00.000 +0200,17.80,0.5
2006-04-10 20:00:00.000 +0200,16.06,0.53
2006-04-10 21:00:00.000 +0200,15.02,0.55
2006-04-10 22:00:00.000 +0200,14.42,0.58
2006-04-10 23:00:00.000 +0200,14.26,0.59
2006-04-11 00:00:00.000 +0200,13.77,0.6
2006-04-11 01:00:00.000 +0200,13.28,0.63
2006-04-11 02:00:00.000 +0200,8.63,0.87
2006-04-11 03:00:00.000 +0200,11.25,0.83
2006-04-11 04:00:00.000 +0200,11.18,0.89
2006-04-11 05:00:00.000 +0200,10.69,0.95
2006-04-11 06:00:00.000 +0200,11.11,0.93
2006-04-11 07:00:00.000 +0200,11.11,0.93
2006-04-11 08:00:00.000 +0200,12.17,0.82
2006-04-11 09:00:00.000 +0200,12.76,0.79
2006-04-11 10:00:00.000 +0200,13.84,0.84
2006-04-11 11:00:00.000 +0200,16.18,0.73
2006-04-11 12:00:00.000 +0200,17.52,0.67
2006-04-11 13:00:00.000 +0200,17.38,0.67
2006-04-11 14:00:00.000 +0200,17.36,0.71
2006-04-11 15:00:00.000 +0200,17.21,0.74
2006-04-11 16:00:00.000 +0200,15.63,0.81
2006-04-11 17:00:00.000 +0200,13.58,0.9
2006-04-11 18:00:00.000 +0200,10.91,0.86
2006-04-11 19:00:00.000 +0200,8.80,0.99
2006-04-11 20:00:00.000 +0200,8.96,0.93
2006-04-11 21:00:00.000 +0200,8.20,0.96
2006-04-11 22:00:00.000 +0200,7.69,0.96
2006-04-11 23:00:00.000 +0200,7.77,0.96
2006-04-12 00:00:00.000 +0200,8.20,0.96
2006-04-12 01:00:00.000 +0200,8.18,0.93
2006-04-12 02:00:00.000 +0200,7.31,0.82
2006-04-12 03:00:00.000 +0200,7.64,0.93
2006-04-12 04:00:00.000 +0200,6.62,0.93
2006-04-12 05:00:00.000 +0200,6.68,0.93
2006-04-12 06:00:00.000 +0200,6.09,0.93
2006-04-12 07:00:00.000 +0200,6.07,0.93
2006-04-12 08:00:00.000 +0200,6.14,0.93
2006-04-12 09:00:00.000 +0200,7.13,0.8
2006-04-12 10:00:00.000 +0200,7.21,0.86
2006-04-12 11:00:00.000 +0200,7.57,0.84
2006-04-12 12:00:00.000 +0200,8.90,0.77
2006-04-12 13:00:00.000 +0200,9.96,0.71
2006-04-12 14:00:00.000 +0200,9.89,0.71
2006-04-12 15:00:00.000 +0200,11.07,0.71
2006-04-12 16:00:00.000 +0200,10.12,0.76
2006-04-12 17:00:00.000 +0200,11.04,0.66
2006-04-12 18:00:00.000 +0200,10.65,0.7
2006-04-12 19:00:00.000 +0200,10.05,0.7
2006-04-12 20:00:00.000 +0200,9.90,0.66
2006-04-12 21:00:00.000 +0200,8.79,0.71
2006-04-12 22:00:00.000 +0200,7.83,0.72
2006-04-12 23:00:00.000 +0200,7.86,0.72
2006-04-13 00:00:00.000 +0200,7.32,0.75
2006-04-13 01:00:00.000 +0200,7.24,0.75
2006-04-13 02:00:00.000 +0200,5.44,0.88
2006-04-13 03:00:00.000 +0200,7.20,0.76
2006-04-13 04:00:00.000 +0200,6.69,0.7
2006-04-13 05:00:00.000 +0200,6.21,0.73
2006-04-13 06:00:00.000 +0200,6.11,0.76
2006-04-13 07:00:00.000 +0200,6.11,0.76
2006-04-13 08:00:00.000 +0200,6.17,0.76
2006-04-13 09:00:00.000 +0200,7.22,0.71
2006-04-13 10:00:00.000 +0200,7.29,0.73
2006-04-13 11:00:00.000 +0200,7.41,0.72
2006-04-13 12:00:00.000 +0200,7.96,0.7
2006-04-13 13:00:00.000 +0200,8.03,0.7
2006-04-13 14:00:00.000 +0200,9.08,0.65
2006-04-13 15:00:00.000 +0200,9.05,0.62
2006-04-13 16:00:00.000 +0200,9.05,0.65
2006-04-13 17:00:00.000 +0200,9.18,0.65
2006-04-13 18:00:00.000 +0200,9.07,0.7
2006-04-13 19:00:00.000 +0200,7.98,0.75
2006-04-13 20:00:00.000 +0200,8.07,0.75
2006-04-13 21:00:00.000 +0200,7.89,0.82
2006-04-13 22:00:00.000 +0200,7.31,0.83
2006-04-13 23:00:00.000 +0200,7.34,0.84
2006-04-14 00:00:00.000 +0200,6.62,0.85
2006-04-14 01:00:00.000 +0200,6.07,0.88
2006-04-14 02:00:00.000 +0200,8.34,0.88
2006-04-14 03:00:00.000 +0200,5.18,0.91
2006-04-14 04:00:00.000 +0200,3.72,0.94
2006-04-14 05:00:00.000 +0200,4.86,0.93
2006-04-14 06:00:00.000 +0200,5.21,0.92
2006-04-14 07:00:00.000 +0200,6.26,0.92
2006-04-14 08:00:00.000 +0200,7.79,0.87
2006-04-14 09:00:00.000 +0200,10.05,0.76
2006-04-14 10:00:00.000 +0200,12.20,0.66
2006-04-14 11:00:00.000 +0200,12.70,0.63
2006-04-14 12:00:00.000 +0200,13.93,0.58
2006-04-14 13:00:00.000 +0200,15.09,0.59
2006-04-14 14:00:00.000 +0200,15.15,0.5
2006-04-14 15:00:00.000 +0200,16.18,0.44
2006-04-14 16:00:00.000 +0200,16.25,0.55
2006-04-14 17:00:00.000 +0200,16.29,0.5
2006-04-14 18:00:00.000 +0200,16.10,0.56
2006-04-14 19:00:00.000 +0200,12.96,0.68
2006-04-14 20:00:00.000 +0200,13.85,0.64
2006-04-14 21:00:00.000 +0200,12.78,0.69
2006-04-14 22:00:00.000 +0200,12.15,0.72
2006-04-14 23:00:00.000 +0200,10.68,0.81
2006-04-15 00:00:00.000 +0200,10.44,0.83
2006-04-15 01:00:00.000 +0200,9.82,0.8
2006-04-15 02:00:00.000 +0200,11.03,0.74
2006-04-15 03:00:00.000 +0200,7.14,0.93
2006-04-15 04:00:00.000 +0200,7.62,0.89
2006-04-15 05:00:00.000 +0200,7.63,0.86
2006-04-15 06:00:00.000 +0200,7.04,0.86
2006-04-15 07:00:00.000 +0200,8.60,0.84
2006-04-15 08:00:00.000 +0200,9.65,0.84
2006-04-15 09:00:00.000 +0200,12.11,0.72
2006-04-15 10:00:00.000 +0200,12.78,0.71
2006-04-15 11:00:00.000 +0200,13.81,0.65
2006-04-15 12:00:00.000 +0200,16.02,0.48
2006-04-15 13:00:00.000 +0200,17.13,0.47
2006-04-15 14:00:00.000 +0200,17.14,0.43
2006-04-15 15:00:00.000 +0200,17.78,0.4
2006-04-15 16:00:00.000 +0200,17.78,0.37
2006-04-15 17:00:00.000 +0200,17.81,0.43
2006-04-15 18:00:00.000 +0200,16.16,0.52
2006-04-15 19:00:00.000 +0200,14.05,0.63
2006-04-15 20:00:00.000 +0200,13.09,0.67
2006-04-15 21:00:00.000 +0200,12.29,0.72
2006-04-15 22:00:00.000 +0200,12.78,0.66
2006-04-15 23:00:00.000 +0200,12.73,0.67
2006-04-16 00:00:00.000 +0200,12.27,0.69
2006-04-16 01:00:00.000 +0200,11.71,0.71
2006-04-16 02:00:00.000 +0200,10.83,0.86
2006-04-16 03:00:00.000 +0200,12.20,0.59
2006-04-16 04:00:00.000 +0200,12.20,0.6
2006-04-16 05:00:00.000 +0200,11.69,0.68
2006-04-16 06:00:00.000 +0200,11.21,0.77
2006-04-16 07:00:00.000 +0200,11.13,0.77
2006-04-16 08:00:00.000 +0200,11.44,0.77
2006-04-16 09:00:00.000 +0200,13.03,0.81
2006-04-16 10:00:00.000 +0200,17.24,0.62
2006-04-16 11:00:00.000 +0200,17.74,0.53
2006-04-16 12:00:00.000 +0200,17.84,0.56
2006-04-16 13:00:00.000 +0200,18.86,0.56
2006-04-16 14:00:00.000 +0200,18.67,0.56
2006-04-16 15:00:00.000 +0200,17.82,0.56
2006-04-16 16:00:00.000 +0200,17.80,0.59
2006-04-16 17:00:00.000 +0200,17.35,0.57
2006-04-16 18:00:00.000 +0200,16.07,0.67
2006-04-16 19:00:00.000 +0200,14.93,0.73
2006-04-16 20:00:00.000 +0200,13.92,0.78
2006-04-16 21:00:00.000 +0200,12.76,0.84
2006-04-16 22:00:00.000 +0200,12.76,0.84
2006-04-16 23:00:00.000 +0200,12.37,0.86
2006-04-17 00:00:00.000 +0200,11.18,0.93
2006-04-17 01:00:00.000 +0200,11.67,0.9
2006-04-17 02:00:00.000 +0200,8.98,0.95
2006-04-17 03:00:00.000 +0200,10.58,0.93
2006-04-17 04:00:00.000 +0200,10.53,0.89
2006-04-17 05:00:00.000 +0200,10.59,0.87
2006-04-17 06:00:00.000 +0200,9.98,0.89
2006-04-17 07:00:00.000 +0200,11.02,0.86
2006-04-17 08:00:00.000 +0200,13.54,0.75
2006-04-17 09:00:00.000 +0200,13.89,0.68
2006-04-17 10:00:00.000 +0200,15.00,0.67
2006-04-17 11:00:00.000 +0200,17.18,0.57
2006-04-17 12:00:00.000 +0200,16.20,0.62
2006-04-17 13:00:00.000 +0200,17.75,0.56
2006-04-17 14:00:00.000 +0200,18.41,0.54
2006-04-17 15:00:00.000 +0200,17.82,0.59
2006-04-17 16:00:00.000 +0200,17.31,0.57
2006-04-17 17:00:00.000 +0200,17.51,0.55
2006-04-17 18:00:00.000 +0200,17.27,0.54
2006-04-17 19:00:00.000 +0200,15.14,0.61
2006-04-17 20:00:00.000 +0200,13.25,0.69
2006-04-17 21:00:00.000 +0200,12.29,0.72
2006-04-17 22:00:00.000 +0200,10.70,0.79
2006-04-17 23:00:00.000 +0200,9.86,0.85
2006-04-18 00:00:00.000 +0200,9.52,0.88
2006-04-18 01:00:00.000 +0200,8.41,0.92
2006-04-18 02:00:00.000 +0200,13.01,0.82
2006-04-18 03:00:00.000 +0200,7.73,0.96
2006-04-18 04:00:00.000 +0200,6.14,0.96
2006-04-18 05:00:00.000 +0200,6.47,0.95
2006-04-18 06:00:00.000 +0200,6.63,0.96
2006-04-18 07:00:00.000 +0200,8.69,0.93
2006-04-18 08:00:00.000 +0200,11.99,0.81
2006-04-18 09:00:00.000 +0200,13.77,0.78
2006-04-18 10:00:00.000 +0200,15.09,0.77
2006-04-18 11:00:00.000 +0200,16.46,0.68
2006-04-18 12:00:00.000 +0200,17.31,0.62
2006-04-18 13:00:00.000 +0200,17.87,0.64
2006-04-18 14:00:00.000 +0200,19.04,0.47
2006-04-18 15:00:00.000 +0200,18.98,0.51
2006-04-18 16:00:00.000 +0200,19.01,0.55
2006-04-18 17:00:00.000 +0200,19.01,0.53
2006-04-18 18:00:00.000 +0200,17.87,0.64
2006-04-18 19:00:00.000 +0200,17.27,0.62
2006-04-18 20:00:00.000 +0200,16.19,0.61
2006-04-18 21:00:00.000 +0200,14.88,0.72
2006-04-18 22:00:00.000 +0200,14.33,0.75
2006-04-18 23:00:00.000 +0200,14.51,0.75
2006-04-19 00:00:00.000 +0200,14.37,0.75
2006-04-19 01:00:00.000 +0200,14.88,0.72
2006-04-19 02:00:00.000 +0200,10.41,0.92
2006-04-19 03:00:00.000 +0200,12.82,0.83
2006-04-19 04:00:00.000 +0200,12.80,0.85
2006-04-19 05:00:00.000 +0200,12.83,0.86
2006-04-19 06:00:00.000 +0200,12.27,0.85
2006-04-19 07:00:00.000 +0200,12.27,0.85
2006-04-19 08:00:00.000 +0200,12.18,0.82
2006-04-19 09:00:00.000 +0200,12.17,0.8
2006-04-19 10:00:00.000 +0200,12.71,0.83
2006-04-19 11:00:00.000 +0200,15.61,0.78
2006-04-19 12:00:00.000 +0200,16.02,0.78
2006-04-19 13:00:00.000 +0200,17.20,0.67
2006-04-19 14:00:00.000 +0200,17.22,0.71
2006-04-19 15:00:00.000 +0200,17.83,0.69
2006-04-19 16:00:00.000 +0200,17.83,0.69
2006-04-19 17:00:00.000 +0200,17.73,0.69
2006-04-19 18:00:00.000 +0200,16.27,0.71
2006-04-19 19:00:00.000 +0200,13.17,0.93
2006-04-19 20:00:00.000 +0200,13.26,0.93
2006-04-19 21:00:00.000 +0200,13.01,0.93
2006-04-19 22:00:00.000 +0200,12.46,0.91
2006-04-19 23:00:00.000 +0200,12.49,0.9
2006-04-02 00:00:00.000 +0200,9.56,0.8
2006-04-02 01:00:00.000 +0200,10.62,0.79
2006-04-02 02:00:00.000 +0200,8.72,0.93
2006-04-02 03:00:00.000 +0200,10.53,0.77
2006-04-02 04:00:00.000 +0200,9.44,0.83
2006-04-02 05:00:00.000 +0200,9.89,0.83
2006-04-02 06:00:00.000 +0200,10.37,0.78
2006-04-02 07:00:00.000 +0200,8.89,0.89
2006-04-02 08:00:00.000 +0200,9.98,0.84
2006-04-02 09:00:00.000 +0200,12.20,0.73
2006-04-02 10:00:00.000 +0200,13.96,0.67
2006-04-02 11:00:00.000 +0200,14.94,0.67
2006-04-02 12:00:00.000 +0200,16.18,0.71
2006-04-02 13:00:00.000 +0200,16.37,0.61
2006-04-02 14:00:00.000 +0200,17.37,0.57
2006-04-02 15:00:00.000 +0200,17.67,0.51
2006-04-02 16:00:00.000 +0200,17.72,0.53
2006-04-02 17:00:00.000 +0200,16.24,0.61
2006-04-02 18:00:00.000 +0200,14.07,0.71
2006-04-02 19:00:00.000 +0200,13.96,0.76
2006-04-02 20:00:00.000 +0200,12.29,0.8
2006-04-02 21:00:00.000 +0200,10.02,0.86
2006-04-02 22:00:00.000 +0200,9.38,0.86
2006-04-02 23:00:00.000 +0200,9.42,0.9
2006-04-20 00:00:00.000 +0200,11.83,0.92
2006-04-20 01:00:00.000 +0200,10.76,0.91
2006-04-20 02:00:00.000 +0200,12.16,0.95
2006-04-20 03:00:00.000 +0200,9.67,0.94
2006-04-20 04:00:00.000 +0200,8.15,0.94
2006-04-20 05:00:00.000 +0200,10.20,0.95
2006-04-20 06:00:00.000 +0200,10.12,0.99
2006-04-20 07:00:00.000 +0200,10.16,0.99
2006-04-20 08:00:00.000 +0200,11.24,0.98
2006-04-20 09:00:00.000 +0200,12.24,0.99
2006-04-20 10:00:00.000 +0200,13.91,0.92
2006-04-20 11:00:00.000 +0200,15.62,0.82
2006-04-20 12:00:00.000 +0200,15.07,0.86
2006-04-20 13:00:00.000 +0200,15.07,0.82
2006-04-20 14:00:00.000 +0200,14.27,0.87
2006-04-20 15:00:00.000 +0200,16.02,0.81
2006-04-20 16:00:00.000 +0200,15.03,0.86
2006-04-20 17:00:00.000 +0200,13.94,0.89
2006-04-20 18:00:00.000 +0200,12.92,0.95
2006-04-20 19:00:00.000 +0200,12.89,0.95
2006-04-20 20:00:00.000 +0200,12.40,0.98
2006-04-20 21:00:00.000 +0200,12.27,0.99
2006-04-20 22:00:00.000 +0200,12.22,0.96
2006-04-20 23:00:00.000 +0200,11.25,0.96
2006-04-21 00:00:00.000 +0200,11.53,0.96
2006-04-21 01:00:00.000 +0200,11.54,0.96
2006-04-21 02:00:00.000 +0200,9.44,0.96
2006-04-21 03:00:00.000 +0200,11.44,0.96
2006-04-21 04:00:00.000 +0200,11.39,0.96
2006-04-21 05:00:00.000 +0200,11.53,0.96
2006-04-21 06:00:00.000 +0200,11.95,0.93
2006-04-21 07:00:00.000 +0200,11.97,1
